22	胆沢ダム	3.0 	胆沢ダム管理支所	"8:30～17:00（土・日・祝日を含む）
※土日祝日は正面玄関の脇にあるインターホンを押して下さい。"		岩手県奥州市胆沢区若柳字横岳前山６	http://www.thr.mlit.go.jp/kitakato/
23	釜房ダム	1.0 	釜房ダム管理所	"8:30～17:00（土・日・祝日を含む）
（但し、年末年始12月29日～1月3日を除く）"	宮城県	宮城県柴田郡川崎町大字小野字大平山10-6	http://www.thr.mlit.go.jp/kamafusa/
24	鳴子ダム	1.1 	鳴子ダム管理所	"8:30～17:００
（土・日・祝日を含む）
（但し、年末年始（１２／２９～１／３）を除く）"		宮城県大崎市鳴子温泉字岩渕2-8	http://www.thr.mlit.go.jp/naruko/
25	七ヶ宿ダム	1.0 	七ヶ宿ダム管理所	"9:00～17:45（平日）
10:00～17:00（土・日・祝日）（但し、年末年始（12/29～1/3）を除く ）
※土日祝日は、展示室内にあるインターホンを押してください。"		宮城県刈田郡七ヶ宿町字切通52-40	http://www.thr.mlit.go.jp/shichika/
26	玉川ダム	1.1 	玉川ダム管理所	"8:30～17:00
（土・日・祝日を含む）
※土日祝日は、管理所正面玄関の脇にあるインターホンを押してください。"	秋田県	秋田県仙北市田沢湖玉川字下水無92	http://www.thr.mlit.go.jp/tamagawa/
27	森吉山ダム	1.1 	森吉山ダム管理支所	"8:30～17:15
（土・日・祝日を含む）
※土日祝日は、管理支所正面玄関の脇にあるインターホンを押してください。"		秋田県北秋田市根森田字姫ヶ岱３１	http://www.thr.mlit.go.jp/noshiro/kasen/moriyoshi/
			森吉山ダム広報館	"9:00～16:30（土・日・祝日を含む）
※休館日：毎週水曜日及び冬期間（12月～3月）"			
28	月山ダム	1.1 	月山ダム管理所	9:00～16:00（土・日・祝日を含む）　　　　※12月～3月は平日のみ	山形県	山形県鶴岡市上名川字東山8-112	http://www.thr.mlit.go.jp/gassan/
29	寒河江ダム	1.0 	"最上川ダム統合管理事務所
（寒河江ダム）"	9:00～16:00（土・日・祝日を含む）		山形県西村山郡西川町大字砂子関158	http://www.thr.mlit.go.jp/mogami/
30	白川ダム	1.0 	白川ダム管理支所	9:00～16:00（土・日・祝日を含む）		山形県西置賜郡飯豊町大字高峰字栗梨沢4215	http://www.thr.mlit.go.jp/mogami/
31	長井ダム	1.0 	長井ダム管理支所	9:00～16:00（土・日・祝日を含む）		山形県長井市平野字北脇ノ沢４１６４－９	http://www.thr.mlit.go.jp/mogami/
32	管野ダム	1.0 	長井ダム管理支所	9:00～16:00（土・日・祝日を含む）		山形県長井市平野字北脇ノ沢４１６４－９	"http://www.thr.mlit.go.jp/mogami/　　（長井ダムHP）
http://www.pref.yamagata.jp/ou/kendoseibi/180006/damkanri/info-kannodam-damcard.html　　（山形県HP）"
33	横川ダム	1.0 	キテクロ館及び横川ダム管理支所	"9:00～17:00
（土・日・祝日を含む）"		山形県西置賜郡小国町大字綱木箱口736	http://www.hrr.mlit.go.jp/uetsu/index.html
34	荒沢ダム	1.0 	"庄内総合支庁
荒沢ダム管理課"	"9:00～1６:00
（土・日・祝日を除く）"		山形県鶴岡市荒沢字狩篭１４５	http://www.pref.yamagata.jp/ou/sogoshicho/shonai/337081/damucard/damucard.html
35	高坂ダム	1.0 	"最上総合支庁
高坂ダム管理課"	"9:00～1６:00
（土・日・祝日・年末年始を除く）"		山形県最上郡真室川町大字差首鍋２０３５	http://www.pref.yamagata.jp/ou/sogoshicho/mogami/314076/
36	蔵王ダム	1.0 	蔵王ダム管理所	"１０:00～1５:３0
（土・日・祝日・年末年始を除く）"		山形県山形市上宝沢字葉の木沢地内	http://www.pref.yamagata.jp/ou/sogoshicho/murayama/301077/copy_of_zaodamu.html
37	木地山ダム	1.0 	木地山ダム管理所	10:00～16:00（土・日・祝日及び12月から翌年５月までの冬期閉鎖期間は除く）		山形県長井市寺泉字桶沢４２９７	http://www.pref.yamagata.jp/ou/sogoshicho/okitama/326080/kijiyamadam_card.html
38	三春ダム	1.0 	三春ダム管理所	"8:30～17:00
（土・日・祝日を含む）（但し、年末年始12月29日～1月3日を除く）"	福島県	福島県田村郡三春町大字西方字中ノ内403-4	http://www.thr.mlit.go.jp/miharu/
39	摺上川ダム	1.0 	摺上川ダム管理所	"9:00～16:30（土・日・祝日を含む）
（但し12月29日～1月3日を除く）"		福島県福島市飯坂町茂庭字蝉狩野山25	http://www.thr.mlit.go.jp/surikami/
40	大川ダム	1.1 	大川ダム管理支所	9:00～16:30（土・日・祝日を含む）		福島県会津若松市大戸町大字大川字李平乙121	http://www.hrr.mlit.go.jp/agagawa/
41	日中ダム	1.0 	"大峠・日中総合管理事務所
（日中ダム管理所）"	"8:30～17:00
（土・日・祝日・年末年始を除く）"		福島県喜多方市熱塩加納町熱塩字オソバ丙1451-3	http://www.pref.fukushima.lg.jp/sec/41353a/nittyuutop.html
42	大内ダム	1.0 	下郷展示館	"9:00～16:30
（土・日、祝祭日、5月1日、12月1日～3月31日は除く）"		福島県南会津郡下郷町大字小沼崎字黒倉乙1054-1	http://www.jpower.co.jp/damcard/ouchi.html
43	田子倉ダム	1.0	"只見展示館
（冬季：田子倉電力所）"	"9:00～16:30
休館日：毎週水曜日
※冬期休館期間（11月中旬～4月下旬）は田子倉電力所で配布します。詳細はウェブサイトをご参照下さい。"		"只見展示館：南会津郡只見町大字只見字後山2476-230
田子倉電力所（冬季）：南会津郡只見町大字只見字新屋敷1604番地
"	http://www.jpower.co.jp/damcard/tagokura.html
44	四時ダム	1.0 	四時ダム管理所	"8:30～16:30
（土・日・祝日を含む）"		福島県いわき市川部町大沢１６９－１	http://www.pref.fukushima.lg.jp/sec/41383a/
45	高柴ダム	1.1 	高柴ダム管理所	"8:30～17:00
（土・日・祝日を含む）"		福島県いわき市田人町旅人字井戸沢227-11	http://www.pref.fukushima.lg.jp/sec/41383a/
46	小玉ダム	1.0 	小玉ダム管理所	"8:30～17:00
（土・日・祝日・年末年始を除く）"		福島県いわき市小川町高萩字釜ノ前1-25	http://www.pref.fukushima.lg.jp/sec/41380a/kodamadam-top.html
